,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,index,pH,residual sugar,sulphates,total sulfur dioxide,type,volatile acidity,quality
79,9.5,0.062,0.27,0.9966,6.1,33.0,4140,3.31,9.8,0.47,152.0,white,0.24,6
80,9.8,0.035,0.31,0.99572,6.7,42.0,4636,3.08,10.6,0.49,143.0,white,0.18,7
81,11.4,0.045,0.33,0.9931,7.4,31.0,2364,3.42,2.0,0.55,101.0,white,0.22,5
82,9.4,0.049,0.24,0.9932,6.9,13.0,1930,3.17,1.2,0.51,125.0,white,0.49,5
83,10.8,0.043,0.3,0.9926,5.8,41.0,5263,3.33,5.4,0.42,149.0,white,0.275,7
84,8.7,0.0559999999999999,0.3,0.99825,7.4,33.0,4780,2.9,13.7,0.44,168.0,white,0.16,7
85,11.1,0.0579999999999999,0.27,0.99518,8.5,18.0,2824,3.16,1.9,0.85,38.0,red,0.47,6
86,8.7,0.051,0.66,0.9976,7.4,77.0,3984,3.05,10.8,0.46,194.0,white,0.41,5
87,10.4,0.044,0.19,0.99209,5.5,39.0,3475,3.19,2.2,0.43,161.0,white,0.23,6
88,10.8,0.054,0.18,0.99392,7.7,18.0,3639,3.12,3.3,0.51,143.0,white,0.46,6
89,10.0,0.06,0.0,0.99664,6.2,6.0,1118,3.59,2.1,0.61,13.0,red,0.785,4
90,12.3,0.032,0.28,0.99172,6.6,26.0,5273,3.13,6.7,0.32,91.0,white,0.24,6
91,9.7,0.084,0.49,0.9987,9.0,21.0,1780,3.35,2.6,0.57,75.0,red,0.45,5
92,11.7,0.012,0.28,0.99064,6.7,36.0,3880,3.26,2.4,0.39,100.0,white,0.28,7
93,11.2,0.0289999999999999,0.11,0.99076,5.3,6.0,1694,3.51,1.1,0.48,51.0,white,0.43,4
94,10.0,0.052,0.26,0.99388,6.6,45.0,2024,3.16,7.4,0.37,128.0,white,0.17,6
95,9.5,0.213,0.42,0.9994,10.3,6.0,3290,3.19,2.4,0.62,14.0,red,0.41,6
96,11.0,0.053,0.33,0.992,7.8,36.0,5051,3.2,2.4,0.55,175.0,white,0.27,6
97,11.2,0.037,0.32,0.992,7.0,39.0,1295,3.17,1.3,0.42,123.0,white,0.24,8
98,9.5,0.0289999999999999,0.51,0.9965,7.0,55.0,2641,3.03,11.0,0.61,227.0,white,0.24,5
99,8.9,0.051,0.22,0.9955,7.4,50.0,2150,3.28,1.7,0.69,179.0,white,0.32,5
100,12.3,0.037,0.36,0.992,8.0,34.0,3901,3.13,5.0,0.57,101.0,white,0.42,7
101,10.8,0.043,0.33,0.9925,6.9,63.0,1518,3.44,1.6,0.52,149.0,white,0.19,5
102,9.8,0.092,0.35,0.99438,7.6,24.0,2908,3.19,1.6,0.44,138.0,white,0.32,5
103,9.4,0.046,0.65,0.9946,7.3,28.0,160,3.33,1.4,0.62,157.0,white,0.18,6
104,11.5,0.036,0.18,0.99125,6.0,5.0,4536,3.28,3.0,0.4,85.0,white,0.33,4
105,9.3,0.051,0.26,0.9972,5.8,44.0,375,3.29,13.1,0.38,148.0,white,0.25,5
106,10.5,0.044,0.24,0.99502,6.5,25.0,4039,3.22,9.2,0.44,150.0,white,0.2,5
107,11.1,0.034,0.35,0.99195,7.1,21.0,2165,3.11,3.2,0.54,107.0,white,0.2,6
108,9.8,0.074,0.21,0.998,8.5,41.0,3015,3.02,16.2,0.5,197.0,white,0.26,3
109,9.5,0.09,0.42,0.999,10.3,35.0,1906,3.28,2.8,0.7,73.0,red,0.59,6
110,9.4,0.042,0.49,0.99855,8.2,58.0,1547,3.1,13.6,0.54,166.0,white,0.38,5
111,9.9,0.078,0.16,0.9977,7.4,12.0,5131,3.5,1.8,0.7,39.0,red,0.68,6
112,8.7,0.0559999999999999,0.55,0.99806,6.3,58.0,2199,3.29,12.9,0.49,252.0,white,0.695,5
113,9.3,0.067,0.42,0.99727,6.9,24.0,4017,3.19,12.0,0.34,131.0,white,0.615,5
114,11.3,0.031,0.24,0.9948,7.7,41.0,2500,3.12,11.2,0.43,167.0,white,0.44,7
115,10.2,0.049,0.25,0.9934,7.4,43.0,3084,3.42,1.4,0.54,141.0,white,0.23,7
116,11.45,0.046,0.29,0.9902,7.5,34.0,1540,3.04,1.1,0.39,84.0,white,0.24,6
117,11.4,0.032,0.4,0.9939,6.9,51.0,2390,3.22,7.7,0.27,176.0,white,0.2,5
118,10.8,0.036,0.33,0.9925,6.7,23.0,5007,3.32,1.8,0.4,96.0,white,0.23,6
119,9.9,0.0579999999999999,0.32,0.9956,7.2,47.0,302,3.19,8.5,0.4,186.0,white,0.23,6
120,9.2,0.057,0.44,0.99804,6.2,39.0,417,3.14,15.8,0.51,167.0,white,0.25,5
121,10.0,0.044,0.24,0.99726,7.1,48.0,1028,3.04,12.6,0.56,118.0,white,0.27,7
122,12.5,0.0409999999999999,0.0,0.99258,5.4,16.0,493,4.01,1.2,0.59,46.0,red,0.74,6
123,9.5,0.0819999999999999,0.17,0.996,7.8,21.0,3036,3.39,1.6,0.48,102.0,red,0.5,5
124,10.3,0.067,0.25,0.99721,5.9,72.0,4638,3.33,13.4,0.54,160.0,red,0.29,6
125,10.5,0.055,0.4,0.99532,6.8,41.0,4381,2.98,9.85,0.56,103.0,white,0.19,6
126,10.7,0.087,0.06,0.9965,7.9,27.0,2102,3.36,4.0,0.67,61.0,red,0.545,6
127,10.0,0.034,0.48,0.9958,9.8,5.0,3962,2.87,9.85,0.29,110.0,white,0.42,5
128,10.8,0.046,0.26,0.9951,6.2,43.0,3570,3.16,12.1,0.37,127.0,white,0.27,6
129,9.7,0.038,0.32,0.9958,6.5,48.0,1160,3.45,7.6,0.54,203.0,white,0.24,7
130,10.5,0.062,0.09,0.99584,7.0,4.0,339,3.35,2.1,0.54,9.0,red,0.51,5
131,11.3,0.051,0.33,0.99048,5.4,29.0,3449,3.37,1.2,0.66,122.0,white,0.255,6
132,9.7,0.054,0.23,0.99836,7.6,20.0,1415,3.16,12.7,0.5,139.0,white,0.31,4
133,10.0,0.038,0.39,0.994,7.6,21.0,4872,3.16,1.2,0.67,115.0,white,0.28,6
134,11.2,0.048,0.41,0.9932,7.7,60.0,4741,3.24,1.7,0.66,173.0,white,0.16,7
135,11.7,0.034,0.91,0.99394,6.3,50.0,5212,3.39,8.2,0.49,199.0,white,0.3,6
136,12.1,0.035,0.36,0.9899,7.0,8.0,1747,3.09,1.0,0.46,70.0,white,0.28,6
137,8.9,0.036,0.58,0.9977,7.8,44.0,4326,3.06,11.2,0.41,161.0,white,0.27,6
138,9.8,0.067,0.35,0.995,6.9,32.0,2125,3.36,5.0,0.48,150.0,white,0.19,5
139,9.5,0.222,0.36,0.998,8.3,6.0,1234,3.18,1.8,0.6,16.0,red,0.49,6
140,13.0,0.038,0.22,0.99018,6.6,17.0,297,3.25,4.0,0.53,98.0,white,0.39,7
141,9.1,0.036,0.38,0.99712,6.5,20.0,4275,3.47,7.4,0.48,196.0,white,0.35,6
142,9.4,0.051,0.26,0.9984,6.6,17.0,4402,3.0,17.3,0.43,149.0,white,0.18,6
143,12.4,0.027,0.73,0.99,6.6,21.0,4675,3.12,2.2,0.48,92.0,white,0.29,6
144,10.5,0.084,0.02,0.99538,7.5,13.0,2657,3.36,1.7,0.54,31.0,red,0.51,6
145,10.7,0.042,0.33,0.99215,6.6,24.0,432,3.29,1.4,0.46,183.0,white,0.27,5
146,9.8,0.045,0.38,0.9975,7.0,54.0,1094,3.18,15.3,0.42,120.0,white,0.15,6
147,10.5,0.049,0.18,0.9963,6.1,41.0,4090,3.14,10.5,0.35,124.0,white,0.25,5
148,10.5333333333333,0.046,0.29,0.99313,6.2,35.0,3129,3.25,5.6,0.51,178.0,white,0.29,5
149,12.5,0.078,0.39,0.99444,8.3,17.0,3229,3.31,2.4,0.77,43.0,red,0.31,7
150,11.4,0.027,0.33,0.9908,6.5,23.0,3525,3.3,1.0,0.39,75.0,white,0.16,7
151,11.3,0.045,0.24,0.9922,6.6,36.0,3008,3.15,3.9,0.64,138.0,white,0.23,7
152,8.6,0.0409999999999999,0.62,0.9976,7.2,70.0,5353,3.08,10.8,0.49,189.0,white,0.4,4
153,12.1,0.0279999999999999,0.36,0.9922,7.0,31.0,5014,3.35,7.1,0.47,104.0,white,0.23,8
154,12.4,0.02,0.31,0.99035,6.6,29.0,513,3.26,1.3,0.44,89.0,white,0.33,8
155,12.0,0.036,0.39,0.9935,7.7,8.0,5065,3.06,8.9,0.38,117.0,white,0.28,7
156,11.2,0.043,0.44,0.9907,6.4,67.0,936,3.14,1.2,0.73,150.0,white,0.15,7
157,9.7,0.042,0.49,0.9934,8.1,43.0,2529,3.13,1.2,0.48,160.0,white,0.12,6
158,10.2,0.076,0.43,0.99551,8.8,12.0,2053,3.21,1.4,0.75,21.0,red,0.45,6
159,9.5,0.049,0.52,0.99551,6.5,35.0,1039,3.16,7.9,0.51,192.0,white,0.29,6
160,9.1,0.042,0.4,0.9998,7.3,44.5,4866,3.36,14.75,0.41,129.5,white,0.22,7
161,12.0,0.036,0.32,0.9906,6.5,38.0,3531,3.16,3.0,0.59,93.0,white,0.29,6
162,12.0,0.036,0.26,0.99078,7.0,44.0,2608,3.34,2.8,0.41,132.0,white,0.22,7
163,9.2,0.074,0.37,0.9954,5.6,12.0,1006,3.32,1.4,0.58,96.0,red,0.31,5
164,9.5,0.048,0.29,0.99784,6.9,52.0,138,3.0,13.65,0.6,189.0,white,0.38,6
165,9.5,0.091,0.63,1.0004,12.3,6.0,4282,3.16,2.3,0.49,18.0,red,0.39,5
166,10.7,0.027,0.4,0.992,8.2,36.0,4109,3.12,1.2,0.38,121.0,white,0.23,6
167,13.7,0.0409999999999999,0.01,0.99026,6.2,18.0,3476,3.2,3.2,0.94,120.0,white,0.76,7
168,9.4,0.069,0.31,0.99692,6.5,58.0,1363,3.18,10.2,0.49,170.0,white,0.35,5
169,9.4,0.04,0.19,0.99579,7.1,48.0,2414,3.16,7.8,0.5,184.0,white,0.28,5
170,9.4,0.053,0.41,0.99886,7.4,37.0,4557,3.2,14.1,0.63,194.0,white,0.4,6
171,9.1,0.043,0.5,0.99542,6.3,61.0,4755,2.86,10.4,0.46,132.0,white,0.23,6
172,9.6,0.096,0.26,0.99738,9.3,5.0,1133,3.25,2.0,0.42,35.0,red,0.655,5
173,12.2,0.063,0.0,0.99191,5.7,11.0,3789,3.45,1.4,0.56,18.0,red,0.6,6
174,9.5,0.337,0.5,0.9964,8.9,27.0,2533,3.04,2.0,1.61,81.0,red,0.59,6
175,10.8,0.038,0.44,0.99526,9.3,21.0,5292,3.24,1.6,0.81,42.0,red,0.37,7
176,11.3,0.03,0.35,0.99146,6.6,33.0,1408,3.22,2.6,0.72,78.0,white,0.17,6
177,11.2,0.045,0.34,0.99132,7.1,6.0,2710,3.16,1.2,0.46,132.0,white,0.24,4
178,9.1,0.05,0.31,0.99884,7.5,26.0,4538,3.05,13.1,0.53,180.0,white,0.24,6
179,11.2,0.084,0.63,0.9998,10.4,5.0,1394,3.26,2.8,0.74,22.0,red,0.33,7
180,10.2,0.036,0.4,0.9944,6.9,15.0,1560,3.17,8.2,0.33,95.0,white,0.28,5
181,11.1,0.088,0.52,0.99613,9.5,12.0,965,3.29,2.0,0.58,51.0,red,0.37,6
182,9.4,0.043,0.18,0.99566,6.7,57.0,4441,3.17,7.7,0.44,200.0,white,0.31,6
183,9.5,0.103,0.32,0.99938,7.5,13.0,4836,3.45,2.7,0.62,98.0,red,0.6,5
184,9.3,0.088,0.0,0.999,9.0,19.0,2952,3.35,2.4,0.6,38.0,red,0.69,5
185,10.2,0.119,0.34,0.9921,6.0,33.0,707,3.19,1.6,0.38,104.0,white,0.28,6
186,10.2,0.059,0.64,0.998,11.6,5.0,919,3.21,2.1,0.67,15.0,red,0.44,6
187,10.9,0.042,0.27,0.99094,6.4,35.0,1482,3.03,2.1,0.63,100.0,white,0.23,6
188,12.4,0.042,0.35,0.9906,6.8,16.0,4771,3.19,2.3,0.56,85.0,white,0.28,6
189,9.7,0.087,0.28,1.0001,9.4,18.0,1349,3.31,3.2,0.53,72.0,red,0.615,5
190,11.4,0.043,0.37,0.99128,7.8,10.0,1404,3.08,1.0,0.38,80.0,white,0.25,5
191,8.9,0.047,0.24,0.99896,6.0,42.0,1102,3.1,17.8,0.45,111.0,white,0.28,6
192,9.0,0.076,0.27,0.9967,6.8,47.0,4969,3.05,10.7,0.38,154.0,white,0.25,5
193,11.8,0.04,0.35,0.99102,6.5,27.0,2539,2.98,3.9,0.53,140.0,white,0.2,6
194,9.5,0.039,0.51,0.9982,7.5,62.0,3662,3.06,14.8,0.6,204.0,white,0.31,5
195,11.6,0.031,0.28,0.9948,6.9,34.0,915,3.1,13.8,0.37,137.0,white,0.37,6
196,9.5,0.048,0.25,0.99663,7.1,32.0,1386,3.14,11.2,0.4,136.0,white,0.31,5
197,11.0,0.081,0.32,0.9964,8.4,32.0,3029,3.3,2.2,0.72,79.0,red,0.36,6
198,10.5,0.037,0.27,0.99444,7.1,19.0,2882,3.04,9.6,0.37,105.0,white,0.2,7
199,9.6,0.089,0.0,0.9978,8.2,13.0,2917,3.37,2.2,0.46,26.0,red,0.78,4
200,9.0,0.081,0.25,0.9984,7.8,14.0,5024,3.43,1.9,0.65,38.0,red,0.52,6
201,12.5,0.0409999999999999,0.49,0.9914,7.7,23.0,2496,3.16,1.8,0.42,86.0,white,0.27,6
202,12.5,0.038,0.36,0.9914,7.2,26.0,3620,2.93,5.7,0.59,98.0,white,0.36,7
203,10.2,0.044,0.28,0.9948,8.0,31.0,521,3.16,5.7,0.51,124.0,white,0.3,6
204,9.4,0.111,0.19,0.99878,9.9,33.0,2441,3.14,5.8,0.55,76.0,red,0.74,5
205,10.5,0.092,0.41,0.9982,8.8,26.0,4544,3.31,3.3,0.53,52.0,red,0.48,6
206,9.8,0.047,0.23,0.9936,6.3,13.0,1902,3.28,2.9,0.43,100.0,white,0.27,5
207,9.8,0.05,0.36,0.9936,8.0,16.0,322,3.15,1.8,0.45,84.0,white,0.19,7
208,9.9,0.089,0.0,0.9943,5.6,16.0,2044,3.58,1.6,0.52,59.0,red,0.615,5
209,12.5,0.0289999999999999,0.25,0.98972,5.5,33.0,4488,3.36,1.9,0.66,118.0,white,0.3,6
210,10.6,0.04,0.34,0.9932,7.9,29.0,3664,3.14,1.2,0.41,118.0,white,0.2,6
211,11.5,0.07,0.49,0.9922,6.6,23.0,2828,3.12,1.7,0.5,149.0,red,0.39,6
212,11.0,0.081,0.25,0.99685,6.9,10.0,4426,3.46,2.6,0.5,37.0,red,0.52,5
213,9.2,0.047,0.51,0.99604,6.6,61.0,4824,3.22,8.0,0.49,189.0,white,0.25,5
214,9.0,0.05,0.28,0.99971,7.2,33.0,4142,2.94,17.55,0.43,154.0,white,0.17,7
215,10.5,0.042,0.41,0.9922,9.2,14.0,2845,2.96,1.0,0.25,59.0,white,0.28,6
216,10.2,0.0409999999999999,0.28,0.99207,6.6,53.0,3608,3.13,1.7,0.45,161.0,white,0.18,6
217,12.5,0.043,0.29,0.9902,6.9,33.0,47,3.16,4.2,0.31,114.0,white,0.26,6
218,9.4,0.044,0.16,0.99512,5.9,48.0,3508,3.21,7.9,0.36,197.0,white,0.29,5
219,9.9,0.054,0.31,0.997,7.2,49.0,1479,3.4,10.0,0.42,165.0,white,0.2,6
220,10.3,0.044,0.39,0.992,6.3,26.0,5222,3.26,1.2,0.53,116.0,white,0.14,6
221,11.2,0.03,0.47,0.9922,5.6,19.0,5116,3.56,4.5,0.45,112.0,white,0.19,6
222,10.0,0.043,0.39,0.9948,7.2,21.0,3532,3.52,1.8,0.47,159.0,white,0.15,5
223,9.2,0.063,0.32,0.998,7.6,32.0,2455,3.0,14.6,0.45,201.0,white,0.285,5
224,11.0,0.039,0.21,0.99328,8.7,28.0,372,2.96,5.6,0.52,67.0,white,0.31,4
225,10.2,0.042,0.19,0.99435,6.4,67.0,622,3.31,5.4,0.35,181.0,white,0.28,6
226,10.4,0.031,0.26,0.9944,7.7,23.0,5318,3.13,7.8,0.5,90.0,white,0.31,5
227,10.3,0.04,0.36,0.9924,6.8,25.0,4290,3.23,1.6,0.66,87.0,white,0.28,6
228,9.5,0.089,0.15,0.9968,8.3,10.0,2371,3.23,1.8,0.77,52.0,red,0.715,5
229,9.6,0.047,0.52,0.99481,6.3,63.0,4766,3.18,6.3,0.44,186.0,white,0.34,5
230,10.8,0.03,0.07,0.9905,6.4,10.0,4604,2.97,1.1,0.28,131.0,white,0.45,5
231,10.8,0.047,0.31,0.993,7.7,33.0,2442,3.22,1.3,0.55,106.0,white,0.24,6
232,9.1,0.064,0.03,0.9934,6.2,29.0,1783,3.22,1.2,0.54,120.0,white,0.35,5
233,11.6,0.104,0.5,0.99643,10.1,6.0,2042,3.22,2.4,0.65,13.0,red,0.38,7
234,11.9,0.123,0.66,0.99642,11.3,3.0,5321,3.2,2.4,0.53,8.0,red,0.36,6
235,11.6,0.042,0.28,0.98998,6.3,38.0,2179,3.14,2.4,0.37,102.0,white,0.22,7
236,12.5,0.027,0.21,0.9894,5.1,15.0,5489,3.5,1.7,0.45,72.0,white,0.39,6
237,9.4,0.08,0.42,0.9974,8.3,11.0,3528,3.21,2.0,0.8,27.0,red,0.26,6
238,13.3,0.036,0.28,0.988245,6.2,28.0,4322,3.14,1.6,0.41,106.0,white,0.3,6
239,9.6,0.053,0.32,0.9948,7.9,47.0,1332,3.29,1.6,0.76,150.0,white,0.17,6
240,8.9,0.039,0.72,0.99802,7.5,53.0,2116,3.03,9.6,0.46,151.0,white,0.18,5
241,9.5,0.036,0.36,0.9934,6.9,40.0,3711,3.27,1.3,0.95,117.0,white,0.18,7
242,9.9,0.036,0.41,0.9952,6.7,29.0,4992,3.22,8.7,0.62,148.0,white,0.24,6
243,10.1,0.088,0.32,0.9979,9.7,22.0,277,3.29,2.5,0.62,91.0,red,0.69,5
244,10.4,0.032,0.36,0.993,7.6,6.0,29,3.15,1.6,0.4,106.0,white,0.26,4
245,11.2,0.038,0.38,0.99366,5.8,49.0,1486,3.11,10.7,0.59,136.0,white,0.29,6
246,10.3,0.063,0.06,0.99489,6.5,29.0,1608,3.38,2.0,0.83,44.0,red,0.53,6
247,11.5,0.0279999999999999,0.28,0.99238,7.4,14.0,567,2.94,7.25,0.37,78.0,white,0.25,7
248,11.7,0.036,0.29,0.99,7.3,26.0,1189,3.09,1.0,0.37,101.0,white,0.18,6
249,9.0,0.157,0.54,0.99449,7.2,34.0,650,3.11,1.4,0.53,132.0,white,0.39,6
250,9.4,0.061,0.36,0.9976,6.6,42.0,4332,3.31,9.2,0.56,214.0,white,0.38,5
251,11.5,0.037,0.4,0.9935,7.4,34.0,4947,3.05,5.5,0.62,161.0,white,0.17,4
252,9.5,0.05,0.44,0.9955,6.8,29.0,4767,3.14,7.0,0.42,155.0,white,0.33,5
253,11.1,0.037,0.33,0.99268,5.6,25.0,4657,3.25,7.4,0.49,95.0,white,0.32,6
254,9.4,0.123,0.24,0.9953,6.8,35.0,3733,3.07,6.6,0.48,116.0,white,0.3,5
